"Protein","lfc","padj","Significant","Regulation","Species","Strain","Daterange"
"Prothrombin",-0.418753533924225,0.849986568679833,FALSE,"None","AGM","9530537","4"
"sST2",-0.374189041928002,0.993237654344754,FALSE,"None","AGM","9530537","4"
"IFN-g",0.335412336883034,0.993237654344754,FALSE,"None","AGM","9530537","4"
"IFN-B",0.323992153671214,0.878019422712614,FALSE,"None","AGM","9530537","4"
"Cystatin C",0.304867478612131,0.993237654344754,FALSE,"None","AGM","9530537","4"
"RANTES",-0.290186464289894,0.993237654344754,FALSE,"None","AGM","9530537","4"
"TIE-2",-0.261949033523862,0.849331810043261,FALSE,"None","AGM","9530537","4"
"P-Selectin",-0.226987814286312,0.830108906743253,FALSE,"None","AGM","9530537","4"
"IL-8",-0.216747414075106,0.993237654344754,FALSE,"None","AGM","9530537","4"
"sFlt-1",-0.203738505493348,0.993237654344754,FALSE,"None","AGM","9530537","4"
"IL-17A",0.187396820123924,0.993237654344754,FALSE,"None","AGM","9530537","4"
"TIE-1",-0.16196375492007,0.993237654344754,FALSE,"None","AGM","9530537","4"
"TNF-a",0.1451147575033,0.993237654344754,FALSE,"None","AGM","9530537","4"
"NGAL",-0.12026495671534,0.993237654344754,FALSE,"None","AGM","9530537","4"
"IL-10",0.118171465081028,0.993237654344754,FALSE,"None","AGM","9530537","4"
"sRAGE",-0.113411565574742,0.993237654344754,FALSE,"None","AGM","9530537","4"
"IL-1B",-0.100909850632377,0.993237654344754,FALSE,"None","AGM","9530537","4"
"IGFBP-4",0.0910878881224448,0.993237654344754,FALSE,"None","AGM","9530537","4"
"ICAM-1",-0.0899447662800537,0.993237654344754,FALSE,"None","AGM","9530537","4"
"VCAM-1",-0.0871505507893868,0.993237654344754,FALSE,"None","AGM","9530537","4"
"Tissue factor",-0.0854256429546378,0.993237654344754,FALSE,"None","AGM","9530537","4"
"MMP-2",-0.0158035005259158,0.993237654344754,FALSE,"None","AGM","9530537","4"
"IL-12p40",0.0118727281225883,0.993237654344754,FALSE,"None","AGM","9530537","4"
"IL-23",0.00648995833227595,0.993237654344754,FALSE,"None","AGM","9530537","4"
"MIG",7.27460158482713,1.84901383526339e-06,TRUE,"Up","AGM","9530537","7"
"MIP-1B",6.58426305718229,3.07796928644771e-09,TRUE,"Up","AGM","9530537","7"
"I-TAC",6.23892240281323,4.61614778677857e-16,TRUE,"Up","AGM","9530537","7"
"IL-6",5.23149058404338,0.00683529037885236,TRUE,"Up","AGM","9530537","7"
"IP-10",5.08801434436529,7.65487209933161e-17,TRUE,"Up","AGM","9530537","7"
"PSGL-1",-4.12309218808917,0.0829381695616485,FALSE,"None","AGM","9530537","7"
"GM-CSF",3.97556957104251,0.022850488608216,TRUE,"Up","AGM","9530537","7"
"IFN-g",3.93803307491479,6.80505881014884e-05,TRUE,"Up","AGM","9530537","7"
"IL-18",-3.82451302165826,0.468598702467187,FALSE,"None","AGM","9530537","7"
"MCP-1",3.71121596719277,1.04663106067631e-05,TRUE,"Up","AGM","9530537","7"
"Eotaxin",3.43586047466602,8.85019504067814e-09,TRUE,"Up","AGM","9530537","7"
"MRP8/14",2.87700919734759,1.29478637660988e-06,TRUE,"Up","AGM","9530537","7"
"MPO",-2.24982991725853,0.834047645370319,FALSE,"None","AGM","9530537","7"
"Myoglobin",2.19615173958517,0.184119109078389,FALSE,"None","AGM","9530537","7"
"tPA",1.71636614813079,0.00683529037885236,TRUE,"Up","AGM","9530537","7"
"Fibrinogen",-1.53944811119173,0.615035105947667,FALSE,"None","AGM","9530537","7"
"IFN-B",1.4659995894789,0.00904277764622063,TRUE,"Up","AGM","9530537","7"
"sST2",1.45336465400381,0.435368081437805,FALSE,"None","AGM","9530537","7"
"MMP-9",1.35313198766628,0.869604768461463,FALSE,"None","AGM","9530537","7"
"D-dimer",1.29766182727801,0.615035105947667,FALSE,"None","AGM","9530537","7"
"Factor XIII",-1.20001702927803,0.625738509044787,FALSE,"None","AGM","9530537","7"
"VCAM-1",1.01208946621122,0.879365655449964,FALSE,"None","AGM","9530537","7"
"RANTES",0.99294237970053,0.506194474219124,FALSE,"None","AGM","9530537","7"
"Factor IX",-0.779974307362506,0.869604768461463,FALSE,"None","AGM","9530537","7"
"Cystatin C",0.769945594982989,0.546298754175761,FALSE,"None","AGM","9530537","7"
"PIGF",-0.725336840537061,0.732018428486465,FALSE,"None","AGM","9530537","7"
"LIGHT",-0.660726617151601,0.904847161775671,FALSE,"None","AGM","9530537","7"
"sCD40L",-0.571091143385576,0.615035105947667,FALSE,"None","AGM","9530537","7"
"PAI-1",0.568416743332811,0.625738509044787,FALSE,"None","AGM","9530537","7"
"ICAM-1",0.532605553760074,0.904847161775671,FALSE,"None","AGM","9530537","7"
"IL-23",0.524905412515173,0.834047645370319,FALSE,"None","AGM","9530537","7"
"IL-1B",0.424579465304569,0.867983423880842,FALSE,"None","AGM","9530537","7"
"Antithrombin",-0.348970781126205,0.615035105947667,FALSE,"None","AGM","9530537","7"
"Tissue factor",-0.343301993723192,0.904847161775671,FALSE,"None","AGM","9530537","7"
"OPN",0.328635876638895,0.989215342830304,FALSE,"None","AGM","9530537","7"
"IL-8",-0.300298345250583,0.904847161775671,FALSE,"None","AGM","9530537","7"
"Prothrombin",-0.294759124972678,0.869604768461463,FALSE,"None","AGM","9530537","7"
"TIE-1",0.271437630665812,0.869604768461463,FALSE,"None","AGM","9530537","7"
"P-Selectin",-0.270654334086199,0.615035105947667,FALSE,"None","AGM","9530537","7"
"IGFBP-4",0.26696648565661,0.834047645370319,FALSE,"None","AGM","9530537","7"
"NGAL",0.262519447626655,0.904847161775671,FALSE,"None","AGM","9530537","7"
"sFlt-1",-0.217633642854043,0.877689528076824,FALSE,"None","AGM","9530537","7"
"TIE-2",-0.20013694792415,0.867983423880842,FALSE,"None","AGM","9530537","7"
"MMP-2",-0.120000101165676,0.869604768461463,FALSE,"None","AGM","9530537","7"
"TNF-a",-0.0944646542972221,0.989215342830304,FALSE,"None","AGM","9530537","7"
"IL-12p40",-0.0564025821600893,0.989215342830304,FALSE,"None","AGM","9530537","7"
"IL-17A",0.0262813133909079,0.989215342830304,FALSE,"None","AGM","9530537","7"
"sRAGE",0.019733064495048,0.989215342830304,FALSE,"None","AGM","9530537","7"
"IL-10",-0.0107704414809353,0.989215342830304,FALSE,"None","AGM","9530537","7"
"MIG",8.0478998192522,1.19360243866703e-07,TRUE,"Up","AGM","9530537","10"
"MIP-1B",7.00269194172599,2.7707724296057e-10,TRUE,"Up","AGM","9530537","10"
"I-TAC",6.85825236601384,3.48461385705406e-18,TRUE,"Up","AGM","9530537","10"
"IP-10",5.69547848312587,1.73019442260592e-19,TRUE,"Up","AGM","9530537","10"
"IL-6",5.20452987028701,0.0060105803409149,TRUE,"Up","AGM","9530537","10"
"GM-CSF",5.0696683225167,0.00239621662530353,TRUE,"Up","AGM","9530537","10"
"MCP-1",4.25183301032807,3.83399891783414e-07,TRUE,"Up","AGM","9530537","10"
"PSGL-1",-4.222514705757,0.0584539559872443,FALSE,"None","AGM","9530537","10"
"OPN",4.12617454358854,0.5451442036231,FALSE,"None","AGM","9530537","10"
"MRP8/14",3.9984800077858,8.65548495606232e-11,TRUE,"Up","AGM","9530537","10"
"IFN-g",3.62345431590383,0.000249389407332629,TRUE,"Up","AGM","9530537","10"
"Eotaxin",3.51581818607082,3.39472485345311e-09,TRUE,"Up","AGM","9530537","10"
"tPA",3.33703602495873,4.90811383244109e-08,TRUE,"Up","AGM","9530537","10"
"MMP-9",3.28647057449327,0.5451442036231,FALSE,"None","AGM","9530537","10"
"MPO",-2.86744393392532,0.730758449746006,FALSE,"None","AGM","9530537","10"
"D-dimer",2.75129116606544,0.048876107693955,TRUE,"Up","AGM","9530537","10"
"sST2",2.33882964786202,0.0547823657915287,FALSE,"None","AGM","9530537","10"
"PAI-1",1.97411266444506,0.00351410671534334,TRUE,"Up","AGM","9530537","10"
"Fibrinogen",-1.7218625654815,0.529780225515259,FALSE,"None","AGM","9530537","10"
"Factor XIII",-1.61108554733353,0.457249201481538,FALSE,"None","AGM","9530537","10"
"VCAM-1",1.19459777951667,0.770121125762552,FALSE,"None","AGM","9530537","10"
"IFN-B",1.15652219551237,0.048876107693955,TRUE,"Up","AGM","9530537","10"
"TNF-a",-1.09389300228644,0.743674904152582,FALSE,"None","AGM","9530537","10"
"IL-23",0.972214937239007,0.505448944609033,FALSE,"None","AGM","9530537","10"
"LIGHT",-0.811177778036484,0.821021090525078,FALSE,"None","AGM","9530537","10"
"Factor IX",-0.698066860946968,0.776487865696275,FALSE,"None","AGM","9530537","10"
"Antithrombin",-0.671462537871314,0.121395049108352,FALSE,"None","AGM","9530537","10"
"Tissue factor",0.577533788158811,0.770121125762552,FALSE,"None","AGM","9530537","10"
"IL-8",-0.523940072924072,0.770121125762552,FALSE,"None","AGM","9530537","10"
"Prothrombin",-0.473177145055878,0.743674904152582,FALSE,"None","AGM","9530537","10"
"IL-12p40",-0.471105767664891,0.770121125762552,FALSE,"None","AGM","9530537","10"
"MMP-2",0.470395112830253,0.128132957074564,FALSE,"None","AGM","9530537","10"
"ICAM-1",0.462559131217621,0.893575913960912,FALSE,"None","AGM","9530537","10"
"RANTES",0.437094758715277,0.770121125762552,FALSE,"None","AGM","9530537","10"
"IL-1B",0.429764744429829,0.770121125762552,FALSE,"None","AGM","9530537","10"
"PIGF",-0.420922494310251,0.770121125762552,FALSE,"None","AGM","9530537","10"
"IL-18",0.386869691047031,0.919277838043506,FALSE,"None","AGM","9530537","10"
"IL-17A",-0.385601381949019,0.770121125762552,FALSE,"None","AGM","9530537","10"
"Myoglobin",0.376170162499932,0.821021090525078,FALSE,"None","AGM","9530537","10"
"Cystatin C",0.364313576356899,0.770121125762552,FALSE,"None","AGM","9530537","10"
"TIE-1",0.340174013619169,0.770121125762552,FALSE,"None","AGM","9530537","10"
"sCD40L",-0.292539228336258,0.770121125762552,FALSE,"None","AGM","9530537","10"
"IGFBP-4",0.264162450461942,0.770121125762552,FALSE,"None","AGM","9530537","10"
"TIE-2",-0.227796541869637,0.770121125762552,FALSE,"None","AGM","9530537","10"
"sFlt-1",-0.220394269146485,0.776487865696275,FALSE,"None","AGM","9530537","10"
"P-Selectin",0.160534770064977,0.770121125762552,FALSE,"None","AGM","9530537","10"
"NGAL",0.116725634234552,0.919277838043506,FALSE,"None","AGM","9530537","10"
"IL-10",-0.0775606431922267,0.922459168680721,FALSE,"None","AGM","9530537","10"
"sRAGE",-0.0630209442772554,0.919277838043506,FALSE,"None","AGM","9530537","10"
"IL-6",8.22554777007255,4.10615119797097e-07,TRUE,"Up","AGM","9530537","≥14/Term"
"MIG",8.03982225868033,3.59309575071442e-09,TRUE,"Up","AGM","9530537","≥14/Term"
"MMP-9",7.67604541921797,0.0100407382052588,TRUE,"Up","AGM","9530537","≥14/Term"
"I-TAC",7.34910811237814,1.06848093008511e-22,TRUE,"Up","AGM","9530537","≥14/Term"
"MIP-1B",6.86901649123813,6.99260382701418e-12,TRUE,"Up","AGM","9530537","≥14/Term"
"GM-CSF",5.57464058134339,8.22659949510689e-05,TRUE,"Up","AGM","9530537","≥14/Term"
"IP-10",4.94352391230909,2.31064770041358e-19,TRUE,"Up","AGM","9530537","≥14/Term"
"sST2",4.53712637865325,3.37031267868893e-06,TRUE,"Up","AGM","9530537","≥14/Term"
"MCP-1",4.26590313034194,1.08985175637509e-08,TRUE,"Up","AGM","9530537","≥14/Term"
"PSGL-1",-3.52373364827914,0.0591526079748345,FALSE,"None","AGM","9530537","≥14/Term"
"tPA",3.4688643906923,3.74215388581274e-10,TRUE,"Up","AGM","9530537","≥14/Term"
"Eotaxin",3.31553110448441,3.74215388581274e-10,TRUE,"Up","AGM","9530537","≥14/Term"
"OPN",3.13146789328327,0.472207371438035,FALSE,"None","AGM","9530537","≥14/Term"
"MPO",3.04871473618634,0.411941933015267,FALSE,"None","AGM","9530537","≥14/Term"
"MRP8/14",3.04517864164034,5.98773794433179e-09,TRUE,"Up","AGM","9530537","≥14/Term"
"NGAL",2.56989768141057,0.00790114871641838,TRUE,"Up","AGM","9530537","≥14/Term"
"PAI-1",2.41682353974999,2.67676886601551e-05,TRUE,"Up","AGM","9530537","≥14/Term"
"IFN-g",2.36902192087781,0.00721653957656434,TRUE,"Up","AGM","9530537","≥14/Term"
"IL-8",2.25790838248181,0.030928744888443,TRUE,"Up","AGM","9530537","≥14/Term"
"RANTES",2.06729589668833,0.00683269714949512,TRUE,"Up","AGM","9530537","≥14/Term"
"Myoglobin",1.93184975746483,0.109396888667086,FALSE,"None","AGM","9530537","≥14/Term"
"IL-10",1.66791593971859,0.0459080445544974,TRUE,"Up","AGM","9530537","≥14/Term"
"Tissue factor",1.45412742688873,0.167560423491619,FALSE,"None","AGM","9530537","≥14/Term"
"IL-23",1.27882265951375,0.120106515556879,FALSE,"None","AGM","9530537","≥14/Term"
"VCAM-1",1.26980094965785,0.723055819917155,FALSE,"None","AGM","9530537","≥14/Term"
"IFN-B",0.986783327239542,0.044867552644545,FALSE,"None","AGM","9530537","≥14/Term"
"IGFBP-4",0.984667877538332,0.0121149882015673,FALSE,"None","AGM","9530537","≥14/Term"
"IL-18",0.976115476628636,0.772671176816909,FALSE,"None","AGM","9530537","≥14/Term"
"LIGHT",-0.926512320616609,0.759915071862376,FALSE,"None","AGM","9530537","≥14/Term"
"TIE-1",0.767363978042503,0.188542195330812,FALSE,"None","AGM","9530537","≥14/Term"
"PIGF",0.766970993436937,0.44890005029363,FALSE,"None","AGM","9530537","≥14/Term"
"Prothrombin",-0.747535719315483,0.211724865661766,FALSE,"None","AGM","9530537","≥14/Term"
"D-dimer",-0.745654272795818,0.613637736607936,FALSE,"None","AGM","9530537","≥14/Term"
"Cystatin C",0.712095331512394,0.285345543876854,FALSE,"None","AGM","9530537","≥14/Term"
"Factor IX",0.646728848223994,0.759915071862376,FALSE,"None","AGM","9530537","≥14/Term"
"Fibrinogen",0.639215640191804,0.754868121895297,FALSE,"None","AGM","9530537","≥14/Term"
"IL-12p40",0.516363816463693,0.662840416416671,FALSE,"None","AGM","9530537","≥14/Term"
"TIE-2",-0.508710020969719,0.158043076136667,FALSE,"None","AGM","9530537","≥14/Term"
"Antithrombin",-0.506526687396036,0.15389094695306,FALSE,"None","AGM","9530537","≥14/Term"
"MMP-2",0.494466002743103,0.0457498710467891,FALSE,"None","AGM","9530537","≥14/Term"
"P-Selectin",0.485153058953809,0.0700631654482941,FALSE,"None","AGM","9530537","≥14/Term"
"IL-1B",0.46442999507578,0.613637736607936,FALSE,"None","AGM","9530537","≥14/Term"
"TNF-a",0.306046092154141,0.850815531346351,FALSE,"None","AGM","9530537","≥14/Term"
"IL-17A",0.251569550316302,0.785263351646365,FALSE,"None","AGM","9530537","≥14/Term"
"ICAM-1",0.223489418421511,0.920070771949544,FALSE,"None","AGM","9530537","≥14/Term"
"sFlt-1",0.220978394683062,0.754868121895297,FALSE,"None","AGM","9530537","≥14/Term"
"sCD40L",-0.0894438358181304,0.905775243197576,FALSE,"None","AGM","9530537","≥14/Term"
"sRAGE",0.0561882769120867,0.920070771949544,FALSE,"None","AGM","9530537","≥14/Term"
"Factor XIII",0.0140379100233829,0.989326323097403,FALSE,"None","AGM","9530537","≥14/Term"
