"Gene","lfc","padj","Significant","Regulation","Species","Daterange"
"ABI1",-0.363205242408908,0.00192026937808958,FALSE,"None","Cyno","4"
"ABI2",-0.183213077045913,0.419183779959646,FALSE,"None","Cyno","4"
"ABI3BP",-0.649830814231796,0.0501018803792034,FALSE,"None","Cyno","4"
"ABITRAM",-0.582874648646523,0.189276568126501,FALSE,"None","Cyno","4"
"ABL1",0.0134544692373137,0.860395790952896,FALSE,"None","Cyno","4"
"ABL2",-0.0687960969792575,0.782764874686225,FALSE,"None","Cyno","4"
"ABLIM1",-0.070551502325958,0.503115080855207,FALSE,"None","Cyno","4"
"ABLIM2",0.111788618629011,0.626751510785544,FALSE,"None","Cyno","4"
"ABR",0.53634904526673,0.0104869976644169,FALSE,"None","Cyno","4"
"ABRA",0.0783585676904699,0.113967854561856,FALSE,"None","Cyno","4"
"ABRAXAS1",-0.598630812447442,0.0223700782447634,FALSE,"None","Cyno","4"
"ABRAXAS2",-0.197859561263573,0.15647844308234,FALSE,"None","Cyno","4"
"ABT1",-0.00320045612567034,0.204250296336208,FALSE,"None","Cyno","4"
"ABTB1",0.383826503863804,0.236983703535747,FALSE,"None","Cyno","4"
"ABTB3",0.000158263716759415,0.711714859824462,FALSE,"None","Cyno","4"
"ACA64",0.0551519197401144,0.72743969899844,FALSE,"None","Cyno","4"
"ACAA1",0.145897485057797,0.280440864863242,FALSE,"None","Cyno","4"
"ACAA2",-0.142193607118133,0.875024087717893,FALSE,"None","Cyno","4"
"ACACA",-0.000816404390030289,0.947367467167834,FALSE,"None","Cyno","4"
"ACAD10",0.067212283139093,0.954636364837723,FALSE,"None","Cyno","4"
"ACAD11",-0.408847812982359,0.0358160760836291,FALSE,"None","Cyno","4"
"ACAD8",-0.0116719173148436,0.363156968410856,FALSE,"None","Cyno","4"
"ACAD9",0.182251144777904,0.328049738821147,FALSE,"None","Cyno","4"
"ACADM",-0.38637643186398,0.254700296284491,FALSE,"None","Cyno","4"
"ACADS",0.449182984827178,0.1703567211238,FALSE,"None","Cyno","4"
"ACADSB",-0.372768328236439,0.0194304029759822,FALSE,"None","Cyno","4"
"ACADVL",0.565494988294677,0.0897458549884294,FALSE,"None","Cyno","4"
"ACAN",0.18377196179071,0.629293974683994,FALSE,"None","Cyno","4"
"ACAP1",0.499525719806808,0.070175197966561,FALSE,"None","Cyno","4"
"ACAP2",-0.305033631167225,0.00229315087303152,FALSE,"None","Cyno","4"
"ACAT1",-0.271339784111002,0.00834166192346194,FALSE,"None","Cyno","4"
"ACBD3",-0.211677122194326,0.162403802411383,FALSE,"None","Cyno","4"
"ACBD4",0.253915287019319,0.468267772657079,FALSE,"None","Cyno","4"
"ACBD5",-0.178576500915348,0.572281158478417,FALSE,"None","Cyno","4"
"ACBD6",-0.603652347983489,0.0148458473712126,FALSE,"None","Cyno","4"
"ACD",0.704399006714108,0.000110651593442075,FALSE,"None","Cyno","4"
"ACE",0.0350241830602303,0.298531482936492,FALSE,"None","Cyno","4"
"ACE2",0.00375832133772402,0.743090561656113,FALSE,"None","Cyno","4"
"ACEA_U3",0.279509545091182,0.344388320974715,FALSE,"None","Cyno","4"
"ACER1",0.470373876308826,0.228912125762252,FALSE,"None","Cyno","4"
"ACER2",0.0873342503002308,0.222060055209138,FALSE,"None","Cyno","4"
"ACER3",-0.354090671304932,4.89170151128073e-06,FALSE,"None","Cyno","4"
"ACHE",-0.00831450729456527,0.908758502008192,FALSE,"None","Cyno","4"
"ACIN1",0.252152033507821,0.258027522720544,FALSE,"None","Cyno","4"
"ACKR1",0.132494266686859,0.0348061088471674,FALSE,"None","Cyno","4"
"ACKR2",0.0983653046691948,0.731901690151253,FALSE,"None","Cyno","4"
"ACKR3",0.0418778897228194,0.714304698119754,FALSE,"None","Cyno","4"
"ACKR4",-0.110457839097785,0.401109352456527,FALSE,"None","Cyno","4"
"ACLY",0.136832614451212,0.473949523784131,FALSE,"None","Cyno","4"
"ACMSD",-0.0399662954203559,0.843472312763614,FALSE,"None","Cyno","4"
"ACO1",-0.138642213936087,0.0113862400163823,FALSE,"None","Cyno","4"
"ACO2",0.307316687915499,0.0509599903298675,FALSE,"None","Cyno","4"
"ACOD1",-0.0791104464671239,0.454607807835694,FALSE,"None","Cyno","4"
"ACOT12",-0.0344629519687662,0.657159760283329,FALSE,"None","Cyno","4"
"ACOT7",0.580102417763777,0.000166204767011136,FALSE,"None","Cyno","4"
"ACOT8",0.108074420460192,0.244814722349738,FALSE,"None","Cyno","4"
"ACOT9",-0.0938237164493785,0.00848190519019261,FALSE,"None","Cyno","4"
"ACOX2",0.228333045133113,0.260782683131287,FALSE,"None","Cyno","4"
"ACOX3",0.294948438369108,0.0221526437751204,FALSE,"None","Cyno","4"
"ACOXL",0.108788927004767,0.899789455840372,FALSE,"None","Cyno","4"
"ACP1",0.0355369959293124,0.523913031270502,FALSE,"None","Cyno","4"
"ACP2",0.0638382891177612,0.197365499240682,FALSE,"None","Cyno","4"
"ACP3",-0.0828260410157203,0.623364584100849,FALSE,"None","Cyno","4"
"ACP5",0.115982889615795,0.0175440258369918,FALSE,"None","Cyno","4"
"ACP6",-0.107347859580034,0.823648458504378,FALSE,"None","Cyno","4"
"ACP7",-0.0495593942757545,0.93812501887525,FALSE,"None","Cyno","4"
"ACRBP",-0.206168724304622,0.138326808826035,FALSE,"None","Cyno","4"
"ACRV1",0.102662386332422,0.209716556634706,FALSE,"None","Cyno","4"
"ACSBG1",-0.0530848440935063,0.623338556742331,FALSE,"None","Cyno","4"
"ACSBG2",0.0566954966906172,0.608540131819497,FALSE,"None","Cyno","4"
"ACSF2",0.241648079678713,0.000612102380076717,FALSE,"None","Cyno","4"
"ACSF3",0.257721253713928,0.378229960150161,FALSE,"None","Cyno","4"
"ACSL1",-0.00803115052850165,0.402682942503342,FALSE,"None","Cyno","4"
