"Gene","lfc","padj","Significant","Regulation","Species","Strain","Daterange"
"ABHD17C",0.0730606703300951,0.87681481709293,FALSE,"None","Cyno","9530537","4"
"ABHD18",-0.0934328227039398,0.730207096149663,FALSE,"None","Cyno","9530537","4"
"ABHD2",-0.253386224088239,0.355178025769549,FALSE,"None","Cyno","9530537","4"
"ABHD3",0.271049160561671,0.348410047176671,FALSE,"None","Cyno","9530537","4"
"ABHD4",-0.0382835074706895,0.927023476763414,FALSE,"None","Cyno","9530537","4"
"ABHD5",-0.702680007608647,0.0314331723104643,FALSE,"None","Cyno","9530537","4"
"ABHD6",1.22104424223246,3.15938320959039e-18,FALSE,"None","Cyno","9530537","4"
"ABHD8",-0.0541539449224207,0.909694002907304,FALSE,"None","Cyno","9530537","4"
"ABI1",0.301735941448025,0.196546303868521,FALSE,"None","Cyno","9530537","4"
"ABI2",-0.170379299449073,0.579101879973453,FALSE,"None","Cyno","9530537","4"
"ABI3BP",0.304378238289387,0.308621973611628,FALSE,"None","Cyno","9530537","4"
"ABITRAM",0.330253394946522,0.285644446291402,FALSE,"None","Cyno","9530537","4"
"ABL1",-0.157883389956859,0.605367438756094,FALSE,"None","Cyno","9530537","4"
"ABL2",0.310897710660472,0.220604353022093,FALSE,"None","Cyno","9530537","4"
"ABLIM1",-0.168207790842055,0.56547925511708,FALSE,"None","Cyno","9530537","4"
"ABLIM2",-0.265526144424405,0.471025647412806,FALSE,"None","Cyno","9530537","4"
"ABR",0.0496143603268291,0.905252981744638,FALSE,"None","Cyno","9530537","4"
"ABRA",-0.558814575962325,0.0195262793130318,FALSE,"None","Cyno","9530537","4"
"ABRAXAS1",0.165706039155538,0.635717876465441,FALSE,"None","Cyno","9530537","4"
"ABRAXAS2",0.129419716822693,0.579166353404138,FALSE,"None","Cyno","9530537","4"
"ABT1",0.228394469610545,0.449325485676355,FALSE,"None","Cyno","9530537","4"
"ABTB1",-0.593075682065965,0.0462346930728826,FALSE,"None","Cyno","9530537","4"
"ABTB3",-0.348693719871235,0.263114514297435,FALSE,"None","Cyno","9530537","4"
"ACA64",-0.312637509150939,0.407673210818569,FALSE,"None","Cyno","9530537","4"
"ACAA1",0.138548290055509,0.640400480398492,FALSE,"None","Cyno","9530537","4"
"ACAA2",-0.0871122549281909,0.777264310702827,FALSE,"None","Cyno","9530537","4"
"ACACA",-0.27003678841906,0.0454602414603822,FALSE,"None","Cyno","9530537","4"
"ACAD10",0.0474096140380992,0.92228999338354,FALSE,"None","Cyno","9530537","4"
"ACAD11",-0.157164966607195,0.449325485676355,FALSE,"None","Cyno","9530537","4"
"ACAD8",0.0191377736006629,0.96855933879847,FALSE,"None","Cyno","9530537","4"
"ACAD9",-0.0841309795907381,0.795229302313044,FALSE,"None","Cyno","9530537","4"
"ACADM",-0.151029195229858,0.612413350914951,FALSE,"None","Cyno","9530537","4"
"ACADS",-0.250083624138861,0.320645233964081,FALSE,"None","Cyno","9530537","4"
"ACADSB",-0.131363282071795,0.646308430914276,FALSE,"None","Cyno","9530537","4"
"ACADVL",-0.306042105632812,0.312147539267775,FALSE,"None","Cyno","9530537","4"
"ACAN",0.0387693517995061,0.940695036435009,FALSE,"None","Cyno","9530537","4"
"ACAP1",-0.202440669673138,0.456108829252399,FALSE,"None","Cyno","9530537","4"
"ACAP2",-0.0372484406053877,0.92499179231023,FALSE,"None","Cyno","9530537","4"
"ACAT1",-0.187931572916628,0.378648193845292,FALSE,"None","Cyno","9530537","4"
"ACBD3",-0.0675903779188033,0.776790343550289,FALSE,"None","Cyno","9530537","4"
"ACBD4",-0.325341300359076,0.267447767756733,FALSE,"None","Cyno","9530537","4"
"ACBD5",-0.308174206939099,0.0374210928261834,FALSE,"None","Cyno","9530537","4"
"ACBD6",-0.0248631601180654,0.960552996963761,FALSE,"None","Cyno","9530537","4"
"ACD",-0.111302591284611,0.793810286208058,FALSE,"None","Cyno","9530537","4"
"ACE",0.0544327546145894,0.908404741088608,FALSE,"None","Cyno","9530537","4"
"ACE2",-0.510193236711015,0.19058365647741,FALSE,"None","Cyno","9530537","4"
"ACEA_U3",-1.13847825489529,0.0231845598585627,FALSE,"None","Cyno","9530537","4"
"ACER1",-0.44341150051946,0.239209592863896,FALSE,"None","Cyno","9530537","4"
"ACER2",0.147416744765074,0.733568542639961,FALSE,"None","Cyno","9530537","4"
"ACER3",0.0448887534138657,0.925044976492461,FALSE,"None","Cyno","9530537","4"
"ACHE",0.154212839540308,0.563119405910371,FALSE,"None","Cyno","9530537","4"
"ACIN1",-0.147092385641809,0.618191910286657,FALSE,"None","Cyno","9530537","4"
"ACKR1",0.0948416091168073,0.84070044337661,FALSE,"None","Cyno","9530537","4"
"ACKR2",0.347009160395912,0.34208889112979,FALSE,"None","Cyno","9530537","4"
"ACKR3",-0.361783214351465,0.32776139400055,FALSE,"None","Cyno","9530537","4"
"ACKR4",-0.139775455300075,0.740436168191432,FALSE,"None","Cyno","9530537","4"
"ACLY",0.00879575570468474,0.976522019401483,FALSE,"None","Cyno","9530537","4"
"ACMSD",0.00383517923614089,0.994830448275513,FALSE,"None","Cyno","9530537","4"
"ACO1",3.40665378615698,3.27409412134925e-42,TRUE,"Up","Cyno","9530537","4"
"ACO2",-0.123687333768764,0.612183339649734,FALSE,"None","Cyno","9530537","4"
"ACOD1",-0.0282968794086825,0.927360967019032,FALSE,"None","Cyno","9530537","4"
